dispersion;ouverture_0;ouverture_5;ouverture_10;ouverture_15;ouverture_20;ouverture_25;ouverture_30;ouverture_35;ouverture_40;ouverture_45;ouverture_50;ouverture_55;ouverture_60;ouverture_65;ouverture_70;ouverture_75;ouverture_80;ouverture_85;ouverture_90;ouverture_95;ouverture_100
0;0;9;18;27;36;45;54;63;72;81;90;99;108;117;126;135;144;153;162;171;180
0,1;0;8,17;16,35;24,57;32,83;41,17;49,57;58,07;66,69;75,42;84,29;93,29;102,44;111,73;121,17;130,73;140,42;150,21;160,09;170,02;180
0,2;0;7,45;14,92;22,44;30,04;37,74;45,57;53,55;61,72;70,1;78,71;87,59;96,74;106,2;115,96;126,04;136,4;147,04;157,88;168,89;179,97
0,3;0;6,82;13,67;20,59;27,59;34,7;41,98;49,44;57,13;65,1;73,37;82,01;91,04;100,53;110,49;120,97;131,96;143,45;155,35;167,57;179,96
0,4;0;6,28;12,59;18,96;25,44;32,03;38,78;45,75;52,97;60,49;68,36;76,66;85,46;94,83;104,85;115,59;127,11;139,41;152,44;166,04;179,95
0,5;0;5,81;11,65;17,55;23,55;29,67;35,95;42,46;49,21;56,28;63,74;71,65;80,12;89,25;99,16;110,01;121,92;134,95;149,13;164,26;179,93
0,6;0;5,4;10,83;16,31;21,89;27,59;33,45;39,51;45,84;52,48;59,5;67,01;75,09;83,9;93,58;104,37;116,46;130,1;145,39;162,18;179,91
0,7;0;5,04;10,1;15,22;20,44;25,76;31,24;36,91;42,84;49,07;55,67;62,76;70,43;78,84;88,21;98,77;110,87;124,91;141,2;159,77;179,88
0,8;0;4,72;9,47;14,27;19,14;24,14;29,28;34,6;40,17;46,02;52,23;58,91;66,17;74,16;83,13;93,35;105,28;119,47;136,59;156,99;179,85
0,9;0;4,45;8,91;13,42;18,01;22,72;27,55;32,55;37,78;43,3;49,15;55,44;62,3;69,87;78,39;88,21;99,81;113,94;131,63;153,81;179,82
1;0;4,2;8,41;12,68;17,01;21,45;26,01;30,73;35,67;40,87;46,39;52,33;58,8;65,96;74,05;83,41;94,57;108,44;126,38;150,2;179,78
1,1;0;3,98;7,98;12,01;16,12;20,33;24,64;29,12;33,78;38,7;43,93;49,54;55,65;62,43;70,08;78,96;89,64;103,08;120,98;146,15;179,73
1,2;0;3,78;7,58;11,42;15,33;19,31;23,42;27,67;32,1;36,76;41,72;47,03;52,82;59,23;66,49;74,9;85,07;97,95;115,55;141,68;179,67
1,3;0;3,61;7,23;10,9;14,62;18,42;22,33;26,38;30,59;35,03;39,73;44,79;50,28;56,36;63,23;71,21;80,86;93,15;110,23;136,86;179,6
1,4;0;3,45;6,92;10,42;13,98;17,61;21,36;25,22;29,24;33,47;37,95;42,77;48;53,77;60,3;67,86;77;88,7;105,11;131,78;179,52
1,5;0;3,31;6,64;10;13,41;16,89;20,48;24,18;28,03;32,07;36,35;40,95;45,94;51,44;57,64;64,83;73,5;84,61;100,28;126,57;179,42
1,6;0;3,19;6,38;9,61;12,89;16,24;19,67;23,23;26,93;30,81;34,91;39,3;44,08;49,33;55,24;62,09;70,33;80,87;95,77;121,36;179,3
1,7;0;3,07;6,15;9,26;12,42;15,64;18,95;22,38;25,93;29,66;33,6;37,82;42,4;47,42;53,07;59,6;67,45;77,46;91,62;116,25;179,17
1,8;0;2,97;5,94;8,94;11,99;15,1;18,3;21,6;25,03;28,62;32,42;36,47;40,87;45,69;51,11;57,35;64,84;74,36;87,81;111,36;179
1,9;0;2,87;5,75;8,66;11,6;14,61;17,7;20,89;24,21;27,67;31,33;35,24;39,47;44,12;49,32;55,3;62,47;71,55;84,33;106,76;178,8
2;0;2,78;5,57;8,39;11,25;14,16;17,15;20,25;23,45;26,8;30,34;34,12;38,2;42,68;47,69;53,44;60,31;68,98;81,15;102,47;178,57
2,1;0;2,7;5,41;8,15;10,92;13,75;16,65;19,64;22,76;26,01;29,44;33,09;37,04;41,37;46,19;51,73;58,32;66,65;78,25;98,5;178,28
2,2;0;2,63;5,26;7,92;10,62;13,37;16,19;19,09;22,12;25,28;28,6;32,15;35,97;40,16;44,82;50,17;56,52;64,51;75,6;94,86;177,94
2,3;0;2,56;5,12;7,71;10,34;13,02;15,76;18,59;21,53;24,6;27,83;31,27;34,98;39,04;43,56;48,73;54,86;62,55;73,18;91,52;177,53
